other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy
27.716,10.26,10.22,-2.394,-0.859,114.558,114.112,309.467,17.972,17.902,8.754
28.914,10.76,10.72,4.974,1.198,117.915,117.476,316.86,18.453,18.384,8.832
27.71,10.51,10.32,-3.593,-1.204,113.075,111.031,298.131,17.706,17.385,8.366
26.533,10.37,9.93,-3.687,-1.178,109.577,104.928,280.364,16.028,15.348,7.784
26.687,10.4,9.94,1.016,0.155,107.953,103.178,277.017,15.044,14.379,7.677
27.553,10.83,10.25,3.731,0.866,110.474,104.557,281.059,14.86,14.064,7.662
25.796,10.19,9.6,-5.907,-1.757,102.207,96.289,258.732,13.543,12.759,6.693
27.422,10.96,10.31,7.001,1.627,108.167,101.752,270.634,14.188,13.346,6.761
29.712,12.12,11.04,8.638,2.29,117.634,107.152,288.376,14.707,13.396,6.685
30.756,12.27,11.07,3.375,1.044,116.996,105.554,293.26,13.51,12.189,6.335
29.462,11.54,10.27,-4.35,-1.294,108.115,96.216,276.016,12.227,10.882,5.532
30.02,12.04,10.44,2.277,0.559,110.897,96.16,276.509,12.067,10.463,5.486
30.363,12.54,10.69,1.655,0.343,113.607,96.847,275.075,11.821,10.077,5.389
31.134,13.0,10.76,2.444,0.771,115.874,95.908,277.513,12.685,10.5,6.079
30.538,13.28,10.89,-1.429,-0.596,116.614,95.627,268.163,12.272,10.064,5.596
32.341,13.93,11.67,6.645,1.803,120.544,100.987,279.869,12.356,10.351,5.524
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.083,0.026,,,,0.833,,2.658,,,0.011
0.121,0.038,,46.154,0.038,1.206,,3.85,,,0.015
0.14,0.044,,15.789,0.019,1.385,,4.422,,,0.017
0.15,0.047,,6.818,0.01,1.468,,4.686,,,0.017
0.268,0.084,,78.723,0.118,2.604,,8.311,,,0.029
0.188,0.059,,-29.762,-0.08,1.816,,5.798,,,0.019
0.322,0.101,,71.186,0.134,3.088,,9.856,,,0.032
0.591,0.185,,83.168,0.268,5.61,,17.907,,,0.055
0.712,0.223,,20.541,0.121,6.703,,21.396,,,0.065
0.75,0.235,,5.381,0.038,6.998,,22.341,,,0.066
0.674,0.211,,-10.213,-0.077,6.224,,19.869,,,0.055
0.584,0.183,,-13.27,-0.089,5.346,,17.066,,,0.045
0.846,0.265,,44.809,0.262,7.667,,24.476,,,0.063
0.836,0.262,,-1.132,-0.01,7.513,,23.985,,,0.059
0.766,0.24,,-8.397,-0.07,6.82,,21.772,,,0.054
0.792,0.248,,3.333,0.026,6.982,,22.287,,,0.053
0.859,0.269,,8.468,0.067,7.503,,23.952,,,0.064
0.859,0.269,,0.0,0.0,7.433,,23.729,,,0.063
1.156,0.362,,34.572,0.297,9.908,,31.628,,,0.084
1.101,0.345,,-4.696,-0.054,9.356,,29.865,,,0.077
1.267,0.397,,15.072,0.166,10.678,,34.086,0.288,,0.086
1.175,0.368,,-7.305,-0.093,9.83,,31.379,0.262,,0.078
0.616,0.193,,-47.554,-0.559,5.126,,16.362,0.132,,0.04
0.3,0.094,,-51.295,-0.316,2.486,,7.936,0.065,,0.02
0.329,0.103,,9.574,0.029,2.715,,8.666,0.071,,0.022
0.176,0.05,0.0,-46.602,-0.153,1.314,0.0,4.612,0.037,0.0,0.015
0.265,0.08,0.0,50.909,0.089,2.096,0.0,6.942,0.06,0.0,0.022
0.354,0.11,0.0,33.735,0.089,2.876,0.0,9.263,0.084,0.0,0.031
0.195,0.06,0.0,-45.045,-0.16,1.566,0.0,5.082,0.046,0.0,0.017
0.163,0.05,0.0,-16.393,-0.032,1.303,0.0,4.242,0.038,0.0,0.015
0.214,0.07,0.0,31.373,0.051,1.823,0.0,5.569,0.051,0.0,0.019
0.425,0.13,0.0,98.507,0.211,3.385,0.0,11.056,0.092,0.0,0.036
0.539,0.17,0.0,27.068,0.115,4.428,0.0,14.05,0.121,0.0,0.047
0.702,0.22,0.0,30.178,0.163,5.732,0.0,18.298,0.156,0.0,0.064
0.616,0.19,0.0,-12.273,-0.086,4.954,0.0,16.063,0.136,0.0,0.057
0.705,0.22,0.0,14.508,0.089,5.714,0.0,18.322,0.154,0.0,0.069
1.417,0.44,0.0,100.905,0.712,11.38,0.0,36.659,0.306,0.0,0.14
1.363,0.43,0.0,-3.829,-0.054,11.126,0.0,35.269,0.302,0.0,0.136
1.452,0.46,0.0,6.557,0.089,11.91,0.0,37.607,0.307,0.0,0.14
2.715,0.98,0.0,86.901,1.262,25.391,0.0,70.335,0.644,0.0,0.261
4.823,1.51,0.0,77.658,2.108,39.144,0.0,125.021,0.974,0.0,0.453
6.361,1.99,0.0,31.904,1.539,51.625,0.0,165.03,1.24,0.0,0.57
8.158,2.56,0.0,28.237,1.796,66.456,0.0,211.767,1.615,0.0,0.732
11.546,3.62,0.0,41.538,3.389,93.97,0.0,299.723,2.341,0.0,1.019
16.683,5.23,0.0,44.493,5.137,135.649,0.0,432.714,3.462,0.0,1.526
20.125,6.3,0.0,20.63,3.442,163.224,0.0,521.415,4.013,0.0,1.726
24.263,7.6,0.0,20.562,4.138,196.785,0.0,628.244,4.662,0.0,2.069
32.223,10.09,0.0,32.806,7.96,261.224,0.0,834.235,6.243,0.0,2.828
27.524,8.62,0.0,-14.584,-4.7,223.274,0.0,712.908,5.259,0.0,2.41
31.849,9.98,0.0,15.714,4.325,258.671,0.0,825.481,6.301,0.0,2.893
31.089,9.94,0.0,-2.385,-0.76,257.826,0.0,806.39,6.052,0.0,2.795
25.4,7.96,0.0,-18.298,-5.689,206.581,0.0,659.2,4.793,0.0,2.188
20.711,6.49,0.0,-18.462,-4.689,168.428,0.0,537.49,3.819,0.0,1.717
20.903,6.55,0.0,0.925,0.192,170.035,0.0,542.621,3.865,0.0,1.714
24.526,7.68,0.0,17.333,3.623,199.514,0.0,637.136,4.711,0.0,2.07
24.074,8.35,0.0,-1.84,-0.451,217.287,0.0,626.472,5.314,0.0,2.123
25.732,8.06,0.0,6.886,1.658,210.401,0.0,671.719,4.509,0.0,2.099
22.837,7.76,0.0,-11.251,-2.895,194.695,0.0,572.972,4.328,0.0,1.906
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.661,0.207,,,,23.261,,74.253,,,
0.638,0.2,,-3.382,-0.022,22.518,,71.882,,,
0.613,0.192,,-4.0,-0.026,21.679,,69.203,,,
0.728,0.228,,18.75,0.115,25.846,,82.505,,,
0.894,0.28,,22.807,0.166,31.934,,101.939,,,
0.594,0.186,,-33.571,-0.3,21.42,,68.376,,,
0.456,0.143,,-23.118,-0.137,16.436,,52.466,,,
0.361,0.113,,-20.979,-0.096,12.793,,40.836,,,
0.638,0.2,,76.991,0.278,22.327,,71.271,,,
0.575,0.18,,-10.0,-0.064,19.825,,63.284,,,
0.753,0.236,,31.111,0.179,25.645,,81.863,,,
0.734,0.23,,-2.542,-0.019,24.651,,78.691,,,
0.747,0.234,,1.739,0.013,24.738,,78.97,,,
0.741,0.232,,-0.855,-0.006,24.222,,77.32,,,
0.824,0.258,,11.207,0.083,26.636,,85.027,,,
1.021,0.32,,24.031,0.198,32.702,,104.356,,,
0.993,0.311,,-2.812,-0.028,31.552,,100.72,,,
1.127,0.353,,13.505,0.134,35.641,,113.772,,,
1.293,0.405,,14.731,0.166,40.729,,130.015,,,
1.19,0.373,,-7.901,-0.103,37.394,,119.263,,,
1.748,0.548,,46.917,0.558,54.817,,174.845,2.899,,
1.934,0.606,,10.584,0.186,60.533,,193.164,2.977,,
1.96,0.614,,1.32,0.026,61.276,,195.571,3.049,,
2.084,0.653,,6.352,0.124,65.148,,207.895,2.904,,
2.11,0.661,,1.225,0.026,65.966,,210.577,2.561,,
2.211,0.69,0.0,4.841,0.101,68.949,0.0,220.916,2.436,0.0,
2.593,0.81,0.0,17.316,0.383,81.11,0.0,259.702,2.725,0.0,
2.83,0.88,0.0,9.102,0.236,88.187,0.0,283.574,2.972,0.0,
2.888,0.9,0.0,2.029,0.058,90.071,0.0,288.981,2.904,0.0,
3.075,0.96,0.03,6.851,0.188,95.827,2.995,306.96,3.064,0.096,
3.273,1.03,0.04,6.515,0.198,102.475,3.98,325.638,3.107,0.121,
3.2,1.01,0.05,-2.136,-0.073,100.122,4.957,317.255,2.935,0.145,1.276
3.452,1.09,0.05,7.837,0.251,107.595,4.936,340.735,3.193,0.146,1.357
3.426,1.08,0.06,-0.681,-0.026,106.096,5.894,336.535,2.776,0.154,1.234
3.924,1.24,0.08,14.681,0.498,121.172,7.818,383.441,2.89,0.186,1.382
4.364,1.38,0.08,11.138,0.44,133.972,7.767,423.673,3.181,0.184,1.488
4.59,1.45,0.1,5.378,0.225,139.802,9.642,442.499,3.141,0.217,1.542
4.971,1.57,0.1,8.207,0.381,150.514,9.587,476.565,3.439,0.219,1.683
4.7,1.48,0.09,-5.417,-0.271,141.311,8.593,448.796,3.181,0.193,1.549
5.171,1.62,0.08,9.906,0.47,154.263,7.618,492.368,3.614,0.178,1.738
5.465,1.75,0.07,5.579,0.295,166.297,6.652,519.363,3.79,0.152,1.84
5.672,1.79,0.09,3.891,0.206,169.766,8.536,537.901,3.685,0.185,1.924
6.553,2.06,0.2,16.434,0.882,194.973,18.929,620.234,4.393,0.427,2.206
6.43,2.04,0.19,-1.872,-0.123,192.799,17.957,607.666,4.485,0.418,2.242
7.155,2.27,0.18,11.106,0.726,214.326,16.995,675.573,4.588,0.364,2.474
8.869,2.81,0.2,23.778,1.714,265.385,18.889,837.626,5.234,0.373,2.907
9.887,3.13,0.21,11.455,1.018,296.266,19.877,935.816,6.033,0.405,3.397
9.804,3.1,0.15,-1.149,-0.082,294.618,14.256,931.787,6.803,0.329,3.689
10.254,3.25,0.2,4.862,0.449,310.573,19.112,979.837,6.432,0.396,3.514
10.267,3.26,0.21,0.209,0.013,313.209,20.176,986.411,6.274,0.404,3.449
10.435,3.3,0.2,1.634,0.168,318.366,19.295,1006.678,6.437,0.39,3.583
10.242,3.24,0.17,-1.982,-0.193,313.566,16.453,991.209,5.479,0.288,3.288
10.833,3.44,0.22,6.015,0.591,333.737,21.344,1050.986,5.962,0.381,3.589
10.659,3.39,0.23,-1.484,-0.175,329.451,22.352,1035.831,5.804,0.394,3.465
11.279,3.58,0.22,5.67,0.621,347.913,21.38,1096.142,6.921,0.425,3.85
12.65,4.01,0.22,12.036,1.371,389.389,21.363,1228.414,7.78,0.427,4.765
13.239,4.18,0.18,4.413,0.589,406.215,17.493,1286.623,8.455,0.364,4.971
11.715,4.16,0.18,-11.304,-1.524,405.029,17.525,1140.636,8.859,0.383,4.545
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.0,0.0,,,0.0,0.0,,0.0,0.0,
,0.01,0.0,,,2.913,0.0,,0.048,0.0,
,0.01,0.0,,,2.971,0.0,,0.06,0.0,
,0.01,0.0,,,3.013,0.0,,0.059,0.0,
,0.01,0.0,,,3.037,0.0,,0.058,0.0,
,0.02,0.0,,,6.113,0.0,,0.117,0.0,
,0.02,0.0,,,6.142,0.0,,0.11,0.0,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.0,0.0,,,,0.0,,0.0,,,
0.0,0.0,,,0.0,0.0,,0.0,,,
0.0,0.0,,,0.0,0.0,,0.0,,,
0.0,0.0,,,0.0,0.0,,0.0,,,
0.0,0.0,,,0.0,0.0,,0.0,,,
0.0,0.0,,,0.0,0.0,,0.0,,,
0.0,0.0,,,0.0,0.0,,0.0,,,
0.0,0.0,,,0.0,0.0,,0.0,,,
0.0,0.0,,,0.0,0.0,,0.0,,,
0.0,0.0,,,0.0,0.0,,0.0,,,
0.0,0.0,,,0.0,0.0,,0.0,,,
0.0,0.0,,,0.0,0.0,,0.0,,,
0.0,0.0,,,0.0,0.0,,0.0,,,
0.0,0.0,,,0.0,0.0,,0.0,,,
0.0,0.0,,,0.0,0.0,,0.0,0.0,,
0.0,0.0,,,0.0,0.0,,0.0,0.0,,
0.0,0.0,,,0.0,0.0,,0.0,0.0,,
0.0,0.0,,,0.0,0.0,,0.0,0.0,,
0.0,0.0,,,0.0,0.0,,0.0,0.0,,
0.0,0.0,,,0.0,0.0,,0.0,0.0,,
0.0,0.0,,,0.0,0.0,,0.0,0.0,,
0.0,0.0,,,0.0,0.0,,0.0,0.0,,
0.0,0.0,,,0.0,0.0,,0.0,0.0,,
0.0,0.0,,,0.0,0.0,,0.0,0.0,,
0.0,0.0,,,0.0,0.0,,0.0,0.0,,
0.0,0.0,,,0.0,0.0,,0.0,0.0,,
0.0,0.0,,,0.0,0.0,,0.0,0.0,,
0.0,0.0,,,0.0,0.0,,0.0,0.0,,
0.0,0.0,,,0.0,0.0,,0.0,0.0,,
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
0.03,0.01,0.0,,0.03,5.543,0.0,16.881,0.035,0.0,
0.03,0.01,0.0,0.0,0.0,5.247,0.0,15.982,0.031,0.0,
0.244,0.01,0.0,701.593,0.214,4.913,0.0,119.94,0.031,0.0,
0.325,0.01,0.0,33.125,0.081,4.516,0.0,146.767,0.027,0.0,
0.381,0.02,0.0,17.209,0.056,8.283,0.0,157.767,0.051,0.0,
0.392,0.02,0.0,2.883,0.011,7.707,0.0,151.021,0.05,0.0,
0.412,0.02,0.0,5.025,0.02,7.375,0.0,151.79,0.047,0.0,
0.429,0.01,0.0,4.327,0.018,3.614,0.0,155.212,0.022,0.0,
0.375,0.02,0.0,-12.6,-0.054,7.124,0.0,133.698,0.043,0.0,
0.429,0.01,0.0,14.3,0.054,3.623,0.0,155.411,0.022,0.0,
0.428,0.02,0.0,-0.273,-0.001,7.44,0.0,159.146,0.042,0.0,
0.428,0.02,0.0,0.0,0.0,7.421,0.0,158.739,0.044,0.0,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,0.16,0.0,,,203.71,0.0,,8.247,0.0,
,0.17,0.0,,,213.701,0.0,,8.095,0.0,
,0.14,0.0,,,173.859,0.0,,6.731,0.0,
,0.15,0.0,,,184.051,0.0,,6.912,0.0,
,0.22,0.0,,,266.821,0.0,,9.244,0.0,
,0.24,0.0,,,287.886,0.0,,9.6,0.0,
,0.3,0.0,,,354.874,0.0,,11.858,0.0,
,0.3,0.0,,,348.591,0.0,,11.628,0.0,
,0.33,0.0,,,377.581,0.0,,12.268,0.0,
,0.32,0.0,,,362.353,0.0,,11.511,0.0,
,0.32,0.0,,,359.492,0.0,,11.189,0.0,
,0.34,0.0,,,379.196,0.0,,11.765,0.0,
,,0.0,,,,0.0,,,,
,,0.0,,,,0.0,,,,
,,0.0,,,,0.0,,,,
,,0.0,,,,0.0,,,,
,,0.0,,,,0.0,,,,
,,0.0,,,,0.0,,,,
,,0.0,,,,0.0,,,,
,,0.0,,,,0.0,,,,
,,0.0,,,,0.0,,,,
,,0.0,,,,0.0,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.0,0.0,,,,0.0,,0.0,,,0.0
0.0,0.0,,,0.0,0.0,,0.0,,,0.0
0.0,0.0,,,0.0,0.0,,0.0,,,0.0
0.0,0.0,,,0.0,0.0,,0.0,,,0.0
0.0,0.0,,,0.0,0.0,,0.0,,,0.0
0.0,0.0,,,0.0,0.0,,0.0,,,0.0
0.0,0.0,,,0.0,0.0,,0.0,,,0.0
0.0,0.0,,,0.0,0.0,,0.0,,,0.0
0.0,0.0,,,0.0,0.0,,0.0,,,0.0
0.0,0.0,,,0.0,0.0,,0.0,,,0.0
0.0,0.0,,,0.0,0.0,,0.0,,,0.0
0.0,0.0,,,0.0,0.0,,0.0,,,0.0
0.0,0.0,,,0.0,0.0,,0.0,,,0.0
0.0,0.0,,,0.0,0.0,,0.0,,,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0
0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0
0.003,0.0,0.0,,0.003,0.0,0.0,0.131,0.0,0.0,0.0
0.0,0.0,0.0,-100.0,-0.003,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.0,0.0,,0.006,0.0,0.0,0.28,0.0,0.0,0.001
0.003,0.0,0.0,-50.0,-0.003,0.0,0.0,0.14,0.0,0.0,0.001
0.0,0.0,0.0,-100.0,-0.003,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.035,0.01,0.0,,0.035,0.449,0.0,1.575,0.018,0.0,0.007
0.035,0.01,0.0,0.0,0.0,0.451,0.0,1.584,0.019,0.0,0.007
0.0,0.0,0.0,-100.0,-0.035,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,,0.01,0.0,0.0,0.442,0.0,0.0,0.002
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.446,0.0,0.0,0.002
0.013,0.0,0.0,33.333,0.003,0.0,0.0,0.6,0.0,0.0,0.003
0.019,0.01,0.0,50.0,0.006,0.474,0.0,0.908,0.017,0.0,0.004
0.013,0.0,0.0,-33.333,-0.006,0.0,0.0,0.611,0.0,0.0,0.003
0.112,0.04,0.0,775.0,0.099,1.928,0.0,5.386,0.065,0.0,0.025
0.077,0.02,0.0,-31.429,-0.035,0.971,0.0,3.72,0.031,0.0,0.017
0.032,0.01,0.0,-58.333,-0.045,0.489,0.0,1.56,0.017,0.0,0.008
0.354,0.11,0.0,1010.0,0.322,5.409,0.0,17.425,0.181,0.0,0.089
0.632,0.2,0.0,78.378,0.278,9.891,0.0,31.259,0.323,0.0,0.155
0.677,0.21,0.0,7.071,0.045,10.429,0.0,33.607,0.357,0.0,0.172
0.804,0.25,0.0,18.868,0.128,12.459,0.0,40.088,0.427,0.0,0.219
1.612,0.5,0.0,100.397,0.808,25.005,0.0,80.62,0.767,0.0,0.424
1.673,0.52,0.0,3.762,0.061,26.123,0.0,84.03,0.789,0.0,0.437
1.695,0.53,0.0,1.336,0.022,26.771,0.0,85.619,0.821,0.0,0.443
1.676,0.53,0.0,-1.098,-0.019,26.905,0.0,85.104,0.829,0.0,0.431
1.395,0.44,0.0,-16.764,-0.281,22.441,0.0,71.17,0.683,0.0,0.352
1.609,0.5,0.0,15.33,0.214,25.609,0.0,82.427,0.845,0.0,0.415
1.745,0.55,0.0,8.409,0.135,28.289,0.0,89.736,0.989,0.0,0.472
2.084,0.65,0.0,19.443,0.339,33.629,0.0,107.813,1.099,0.0,0.538
2.025,0.64,0.0,-2.828,-0.059,32.555,0.0,103.002,1.137,0.0,0.561
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.198,0.065,,,,0.439,,1.335,0.006,,0.002
0.197,0.065,,0.0,-0.0,0.438,,1.328,0.006,,0.002
0.191,0.063,,-3.077,-0.006,0.424,,1.283,0.006,,0.002
0.182,0.06,,-4.762,-0.009,0.403,,1.22,0.006,,0.002
0.184,0.061,,1.667,0.002,0.41,,1.234,0.007,,0.002
0.178,0.059,,-3.279,-0.006,0.397,,1.196,0.007,,0.002
0.172,0.057,,-3.39,-0.006,0.385,,1.16,0.007,,0.002
